eta_1,eta_2,gam_1,gam_2,c_i,c_o,eps_lam,c_lam,del_0,stp,mdl_typ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,0,1,0.3181,0.2417,0.22117,0.19105,0.17917,0.22407,0.23222,0.25971,0.15872,0.26925,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,0,2,0.36255,0.35002,0.3304,0.32665,0.32112,0.25707,0.33287,0.37296,0.26823,0.35192,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,0,3,0.30214,0.26476,0.25863,0.21803,0.251,0.21133,0.24834,0.32666,0.20769,0.30154,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,0,4,0.31736,0.24059,0.22078,0.19053,0.17899,0.22286,0.23392,0.25965,0.15853,0.26948,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,0,5,0.31396,0.24022,0.22022,0.19056,0.17903,0.22393,0.23053,0.25183,0.1584,0.26757,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,0,6,0.30728,0.2417,0.22194,0.19215,0.18409,0.22626,0.22908,0.24202,0.1591,0.26236,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,1,1,0.2882,0.23763,0.2227,0.19731,0.15829,0.19433,0.23391,0.25079,0.16106,0.2604,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,1,2,0.3639,0.35105,0.33064,0.32616,0.32196,0.25662,0.33214,0.37325,0.26843,0.35235,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,1,3,0.3019,0.26462,0.25929,0.21813,0.25141,0.2112,0.24914,0.32622,0.20776,0.30162,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,1,4,0.28814,0.23873,0.22237,0.19701,0.17881,0.19488,0.2326,0.25042,0.16107,0.26053,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,1,5,0.28838,0.23917,0.22272,0.19631,0.18561,0.19509,0.23224,0.24966,0.16233,0.25879,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.4,1.2,4,3,2.07,0.94,0.9,1,6,0.28338,0.23589,0.2209,0.19474,0.18467,0.18974,0.23017,0.24965,0.16,0.2389,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,0,1,0.2407,0.30809,0.29566,0.27684,0.032002,0.26844,0.22515,0.38561,0.2661,0.38439,1,1,1,1,0.14129,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,0,2,0.30334,0.27603,0.27776,0.23038,0.13775,0.17858,0.12957,0.30333,0.14929,0.23181,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,0,3,0.33161,0.32184,0.3403,0.28806,0.30057,0.28011,0.30079,0.32972,0.27248,0.33513,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,0,4,0.23827,0.30883,0.29525,0.27684,0.031745,0.26844,0.22514,0.38561,0.26609,0.3844,1,1,1,1,0.14044,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,0,5,0.41188,0.30911,0.29525,0.27705,0.031745,0.26865,0.22514,0.38597,0.26609,0.3844,1,1,1,1,0.14044,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,0,6,0.41188,0.30911,0.2562,0.27705,0.16721,0.26865,0.23412,0.38597,0.25695,0.38365,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
