InitialRed,RedKillBlueRate,InitialBlue,BlueKillRedRate,FinalRed,FinalBlue,BattleDuration
96,0.06000,86,0.05500,37,0,27.06224
91,0.04500,88,0.06250,0,33,26.83524
93,0.04880,71,0.05000,60,0,22.77315
94,0.05250,76,0.08000,31,0,28.97345
105,0.05880,79,0.04500,78,0,16.08047
110,0.04630,78,0.07250,69,0,20.94430
103,0.04380,90,0.05250,0,34,30.82165
101,0.05750,85,0.07750,0,36,24.97360
100,0.05000,80,0.06000,22,0,35.80394
104,0.04000,74,0.06500,0,22,38.77294
109,0.05500,73,0.05750,55,0,19.59215
108,0.05130,89,0.07000,36,0,25.26135
106,0.04750,84,0.04000,72,0,20.17198
95,0.04130,81,0.07500,0,41,19.89258
90,0.05380,83,0.04750,60,0,18.42952
98,0.05630,70,0.06750,62,0,17.17539
99,0.04250,75,0.04250,77,0,21.07444
96,0.06000,86,0.05500,66,0,17.71931
91,0.04500,88,0.06250,0,32,26.00116
93,0.04880,71,0.05000,59,0,18.83218
94,0.05250,76,0.08000,0,38,21.40107
105,0.05880,79,0.04500,61,0,19.85019
110,0.04630,78,0.07250,44,0,33.02408
103,0.04380,90,0.05250,46,0,25.81812
101,0.05750,85,0.07750,41,0,21.19712
100,0.05000,80,0.06000,48,0,21.30545
104,0.04000,74,0.06500,23,0,48.93678
109,0.05500,73,0.05750,86,0,11.08507
108,0.05130,89,0.07000,65,0,17.92926
106,0.04750,84,0.04000,65,0,22.81683
95,0.04130,81,0.07500,0,29,30.32213
90,0.05380,83,0.04750,25,0,33.76115
98,0.05630,70,0.06750,49,0,19.78531
99,0.04250,75,0.04250,82,0,19.07989
96,0.06000,86,0.05500,36,0,30.40942
91,0.04500,88,0.06250,0,58,18.88570
93,0.04880,71,0.05000,52,0,23.47058
94,0.05250,76,0.08000,0,28,25.72650
105,0.05880,79,0.04500,75,0,16.19138
110,0.04630,78,0.07250,14,0,36.40875
103,0.04380,90,0.05250,22,0,45.81800
101,0.05750,85,0.07750,35,0,24.11897
100,0.05000,80,0.06000,57,0,21.15835
104,0.04000,74,0.06500,19,0,52.20831
109,0.05500,73,0.05750,75,0,15.99667
108,0.05130,89,0.07000,40,0,29.39377
106,0.04750,84,0.04000,66,0,23.12325
95,0.04130,81,0.07500,0,57,17.12246
90,0.05380,83,0.04750,37,0,27.49661
98,0.05630,70,0.06750,57,0,19.45118
99,0.04250,75,0.04250,69,0,21.26639
96,0.06000,86,0.05500,50,0,20.17612
91,0.04500,88,0.06250,0,24,35.21050
93,0.04880,71,0.05000,46,0,23.57625
94,0.05250,76,0.08000,20,0,34.02936
105,0.05880,79,0.04500,79,0,17.48783
110,0.04630,78,0.07250,46,0,25.27102
103,0.04380,90,0.05250,29,0,40.63077
101,0.05750,85,0.07750,25,0,34.11691
100,0.05000,80,0.06000,53,0,23.52688
104,0.04000,74,0.06500,0,24,40.71556
109,0.05500,73,0.05750,60,0,18.96783
108,0.05130,89,0.07000,0,44,22.31046
106,0.04750,84,0.04000,72,0,21.72380
95,0.04130,81,0.07500,0,36,24.99784
90,0.05380,83,0.04750,0,19,39.46710
98,0.05630,70,0.06750,64,0,12.89896
99,0.04250,75,0.04250,63,0,20.97058
96,0.06000,86,0.05500,0,13,57.93609
91,0.04500,88,0.06250,0,61,20.41123
93,0.04880,71,0.05000,57,0,22.15025
94,0.05250,76,0.08000,0,30,25.26285
105,0.05880,79,0.04500,81,0,12.73175
110,0.04630,78,0.07250,49,0,22.73905
103,0.04380,90,0.05250,0,5,78.20561
101,0.05750,85,0.07750,31,0,29.65958
100,0.05000,80,0.06000,31,0,35.51119
104,0.04000,74,0.06500,57,0,22.96117
109,0.05500,73,0.05750,71,0,19.89302
108,0.05130,89,0.07000,34,0,28.54406
106,0.04750,84,0.04000,59,0,26.54752
95,0.04130,81,0.07500,0,31,26.82043
90,0.05380,83,0.04750,25,0,44.01812
98,0.05630,70,0.06750,71,0,15.09586
99,0.04250,75,0.04250,81,0,15.09688
96,0.06000,86,0.05500,43,0,23.00178
91,0.04500,88,0.06250,0,37,35.86192
93,0.04880,71,0.05000,60,0,20.82178
94,0.05250,76,0.08000,0,16,39.33808
105,0.05880,79,0.04500,85,0,15.26864
110,0.04630,78,0.07250,66,0,18.49777
103,0.04380,90,0.05250,0,16,47.90874
101,0.05750,85,0.07750,0,52,19.34568
100,0.05000,80,0.06000,66,0,17.14575
104,0.04000,74,0.06500,0,25,34.53919
109,0.05500,73,0.05750,85,0,15.22078
108,0.05130,89,0.07000,57,0,23.81262
106,0.04750,84,0.04000,68,0,25.94208
95,0.04130,81,0.07500,0,37,22.88537
90,0.05380,83,0.04750,49,0,23.49606
98,0.05630,70,0.06750,56,0,17.42013
99,0.04250,75,0.04250,69,0,25.16140
96,0.06000,86,0.05500,55,0,19.71289
91,0.04500,88,0.06250,0,39,29.35318
93,0.04880,71,0.05000,38,0,32.35734
94,0.05250,76,0.08000,14,0,34.61677
105,0.05880,79,0.04500,76,0,17.35886
110,0.04630,78,0.07250,27,0,35.63295
103,0.04380,90,0.05250,51,0,26.91078
101,0.05750,85,0.07750,61,0,19.61448
100,0.05000,80,0.06000,58,0,21.70969
104,0.04000,74,0.06500,0,31,31.06328
109,0.05500,73,0.05750,73,0,18.39981
108,0.05130,89,0.07000,57,0,20.97658
106,0.04750,84,0.04000,63,0,29.89703
95,0.04130,81,0.07500,0,31,29.55408
90,0.05380,83,0.04750,64,0,17.38248
98,0.05630,70,0.06750,62,0,18.11130
99,0.04250,75,0.04250,59,0,25.25250
96,0.06000,86,0.05500,42,0,19.81298
91,0.04500,88,0.06250,0,33,29.64228
93,0.04880,71,0.05000,62,0,19.29317
94,0.05250,76,0.08000,0,31,25.69672
105,0.05880,79,0.04500,73,0,16.53758
110,0.04630,78,0.07250,68,0,15.49190
103,0.04380,90,0.05250,0,17,54.02204
101,0.05750,85,0.07750,30,0,29.18757
100,0.05000,80,0.06000,62,0,19.02597
104,0.04000,74,0.06500,35,0,36.18507
109,0.05500,73,0.05750,85,0,13.71371
108,0.05130,89,0.07000,42,0,26.30289
106,0.04750,84,0.04000,69,0,26.88601
95,0.04130,81,0.07500,0,40,22.77226
90,0.05380,83,0.04750,46,0,20.45709
98,0.05630,70,0.06750,74,0,13.74756
99,0.04250,75,0.04250,51,0,30.36169
96,0.06000,86,0.05500,56,0,19.44388
91,0.04500,88,0.06250,0,36,22.62471
93,0.04880,71,0.05000,60,0,26.23539
94,0.05250,76,0.08000,0,25,25.86942
105,0.05880,79,0.04500,74,0,15.23952
110,0.04630,78,0.07250,69,0,17.30830
103,0.04380,90,0.05250,0,5,79.89641
101,0.05750,85,0.07750,61,0,18.75782
100,0.05000,80,0.06000,49,0,23.26303
104,0.04000,74,0.06500,34,0,36.13270
109,0.05500,73,0.05750,80,0,15.15398
108,0.05130,89,0.07000,0,42,23.68440
106,0.04750,84,0.04000,75,0,22.57013
95,0.04130,81,0.07500,0,22,27.99818
90,0.05380,83,0.04750,45,0,25.09483
98,0.05630,70,0.06750,66,0,14.25515
99,0.04250,75,0.04250,57,0,26.07162
96,0.06000,86,0.05500,62,0,18.41745
91,0.04500,88,0.06250,0,47,27.67407
93,0.04880,71,0.05000,67,0,18.20302
94,0.05250,76,0.08000,0,25,23.67870
105,0.05880,79,0.04500,73,0,15.97880
110,0.04630,78,0.07250,55,0,23.86102
103,0.04380,90,0.05250,0,24,36.84429
101,0.05750,85,0.07750,34,0,26.08521
100,0.05000,80,0.06000,57,0,23.77705
104,0.04000,74,0.06500,54,0,25.95869
109,0.05500,73,0.05750,87,0,14.05250
108,0.05130,89,0.07000,30,0,30.29824
106,0.04750,84,0.04000,77,0,18.19540
95,0.04130,81,0.07500,0,47,23.05114
90,0.05380,83,0.04750,31,0,35.44346
98,0.05630,70,0.06750,49,0,21.38359
99,0.04250,75,0.04250,74,0,23.51268
96,0.06000,86,0.05500,45,0,22.84988
91,0.04500,88,0.06250,0,48,20.83159
93,0.04880,71,0.05000,50,0,19.49641
94,0.05250,76,0.08000,19,0,35.19759
105,0.05880,79,0.04500,57,0,19.97523
110,0.04630,78,0.07250,75,0,16.92200
103,0.04380,90,0.05250,52,0,24.94060
101,0.05750,85,0.07750,0,20,36.80658
100,0.05000,80,0.06000,31,0,33.04322
104,0.04000,74,0.06500,23,0,45.43523
109,0.05500,73,0.05750,78,0,16.60497
108,0.05130,89,0.07000,0,22,35.56362
106,0.04750,84,0.04000,70,0,22.83989
95,0.04130,81,0.07500,0,47,19.92309
90,0.05380,83,0.04750,33,0,29.04779
